Team,Year,Week,Rating,Prev_Rating,Opponent,Score
ARI,1990,7,-7.166084711,-7.160579074,NYG,-0.107466351
ARI,1990,8,-6.381793782,-6.376199344,CHI,-7.102431934
ARI,1990,9,-6.453857597,-6.44818737,MIA,-11.63984373
ARI,1990,10,-6.925310882,-6.919704089,BUF,-15.4450967
ARI,1990,11,-7.635293034,-7.629745981,GBP,-7.99514337
ARI,1990,12,-7.662973829,-7.657337418,NEP,0.555311848
ARI,1990,13,-7.075953424,-7.070371716,,
ARI,1990,14,-7.075953424,-7.070371716,ATL,1.787165029
ARI,1990,15,-6.48507886,-6.479446914,DAL,-20.91960631
ARI,1990,16,-7.387236826,-7.38155256,NYG,-2.608834688
ARI,1990,17,-7.106154347,-7.100423982,PHI,-3.857678189
ARI,1990,18,-6.925683449,-6.919921429,,
